ATTRIBUTES:

Attribute #1:
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:MOSFET  12/04/2023  23:22:42
DATE:12/04/2023
TIME:23:22:42

CONDITIONS:

ID:	D	
UNIT:	SMU1	
MODE: SWEEP	
START:	0	
STOP:	5	
PNTS:	101	
STEP:	0.05

ID:	G	
UNIT:	SMU3	
MODE: STEP	
START:	0	
STOP:	0.7	
PNTS:	8	
STEP:	0.1

ID:	S	
UNIT:	SMU4	
START:	0	
STOP:	1	
PNTS:	1	
	STEP:	0

DATA:  MOSFET  12/04/2023  23:22:42

VD	ID	ID2	ID3	ID4	ID5	ID6	ID7	ID8	
0.00000000E+000	1.48500000E-007	-1.56000000E-008	1.70500000E-007	8.53470000E-008	2.15190000E-007	2.02550000E-007	2.02950000E-007	2.01350000E-007	
5.00000000E-002	3.27940000E-006	7.76540000E-006	1.44900000E-005	2.19450000E-005	2.90840000E-005	3.62990000E-005	4.33900000E-005	5.02300000E-005	
1.00000000E-001	5.15700000E-006	1.23700000E-005	2.51700000E-005	3.97640000E-005	5.45140000E-005	6.91150000E-005	8.33650000E-005	9.70400000E-005	
1.50000000E-001	6.64200000E-006	1.51500000E-005	3.23500000E-005	5.39200000E-005	7.61370000E-005	9.82800000E-005	1.20050000E-004	1.40950000E-004	
2.00000000E-001	7.90230000E-006	1.68350000E-005	3.66440000E-005	6.42350000E-005	9.38470000E-005	1.23750000E-004	1.53000000E-004	1.81350000E-004	
2.50000000E-001	8.98170000E-006	1.81000000E-005	3.90840000E-005	7.10710000E-005	1.07750000E-004	1.45250000E-004	1.82300000E-004	2.18150000E-004	
3.00000000E-001	9.96380000E-006	1.91800000E-005	4.06390000E-005	7.52510000E-005	1.18000000E-004	1.63150000E-004	2.07950000E-004	2.51500000E-004	
3.50000000E-001	1.08500000E-005	2.01400000E-005	4.18090000E-005	7.76390000E-005	1.24900000E-004	1.77250000E-004	2.30000000E-004	2.81450000E-004	
4.00000000E-001	1.16350000E-005	2.10140000E-005	4.28200000E-005	7.91400000E-005	1.29150000E-004	1.87800000E-004	2.48250000E-004	3.07500000E-004	
4.50000000E-001	1.23500000E-005	2.17990000E-005	4.36440000E-005	8.03360000E-005	1.31750000E-004	1.95050000E-004	2.62800000E-004	3.30000000E-004	
5.00000000E-001	1.30250000E-005	2.25000000E-005	4.44540000E-005	8.13080000E-005	1.33300000E-004	1.99600000E-004	2.73810000E-004	3.48960000E-004	
5.50000000E-001	1.36250000E-005	2.31500000E-005	4.51600000E-005	8.21950000E-005	1.34500000E-004	2.02400000E-004	2.81600000E-004	3.64410000E-004	
6.00000000E-001	1.41700000E-005	2.37600000E-005	4.57950000E-005	8.29030000E-005	1.35450000E-004	2.04200000E-004	2.86800000E-004	3.76210000E-004	
6.50000000E-001	1.46850000E-005	2.43300000E-005	4.63690000E-005	8.35580000E-005	1.36300000E-004	2.05450000E-004	2.90010000E-004	3.84810000E-004	
7.00000000E-001	1.51550000E-005	2.48500000E-005	4.70450000E-005	8.42320000E-005	1.37150000E-004	2.06700000E-004	2.92260000E-004	3.90750000E-004	
7.50000000E-001	1.55800000E-005	2.52950000E-005	4.75140000E-005	8.48400000E-005	1.37850000E-004	2.07550000E-004	2.93660000E-004	3.94700000E-004	
8.00000000E-001	1.59800000E-005	2.57650000E-005	4.80100000E-005	8.53090000E-005	1.38500000E-004	2.08450000E-004	2.94950000E-004	3.97060000E-004	
8.50000000E-001	1.63450000E-005	2.61540000E-005	4.84490000E-005	8.59280000E-005	1.39250000E-004	2.09200000E-004	2.96100000E-004	3.99050000E-004	
9.00000000E-001	1.66740000E-005	2.65400000E-005	4.88440000E-005	8.63630000E-005	1.39700000E-004	2.09850000E-004	2.96800000E-004	4.00350000E-004	
9.50000000E-001	1.70050000E-005	2.69050000E-005	4.93150000E-005	8.68330000E-005	1.40350000E-004	2.10700000E-004	2.98010000E-004	4.01650000E-004	
