ATTRIBUTES:

Attribute #1:
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:MOSFET  12/05/2023  00:00:52
DATE:12/05/2023
TIME:00:00:52

CONDITIONS:

ID:	D	
UNIT:	SMU1	
MODE: STEP	
START:	0	
STOP:	5	
PNTS:	6	
STEP:	1

ID:	G	
UNIT:	SMU3	
MODE: SWEEP	
START:	-0.1	
STOP:	0.7	
PNTS:	81	
STEP:	0.01

ID:	S	
UNIT:	SMU4	
START:	0	
STOP:	1	
PNTS:	1	
	STEP:	0

DATA:  MOSFET  12/05/2023  00:00:52

ID	ID2	ID3	ID4	ID5	ID6	
4.29500000E-008	1.68600000E-005	2.07500000E-005	2.25650000E-005	2.40300000E-005	2.54490000E-005	
4.50490000E-008	1.70390000E-005	2.09550000E-005	2.27800000E-005	2.42540000E-005	2.56750000E-005	
-3.69490000E-008	1.72440000E-005	2.12000000E-005	2.30490000E-005	2.45300000E-005	2.59750000E-005	
-5.82490000E-008	1.74600000E-005	2.14600000E-005	2.33250000E-005	2.48200000E-005	2.62740000E-005	
-7.51500000E-008	1.77100000E-005	2.17550000E-005	2.36290000E-005	2.51550000E-005	2.66050000E-005	
1.05000000E-009	1.79890000E-005	2.20800000E-005	2.39690000E-005	2.55100000E-005	2.69750000E-005	
6.41480000E-008	1.83140000E-005	2.24500000E-005	2.43600000E-005	2.59150000E-005	2.74000000E-005	
1.65150000E-007	1.86750000E-005	2.28440000E-005	2.47690000E-005	2.63600000E-005	2.78450000E-005	
1.62700000E-007	1.90740000E-005	2.33100000E-005	2.52650000E-005	2.68650000E-005	2.83790000E-005	
3.85990000E-008	1.95250000E-005	2.38200000E-005	2.58140000E-005	2.74400000E-005	2.89800000E-005	
1.53000000E-008	2.00450000E-005	2.43950000E-005	2.64350000E-005	2.80790000E-005	2.96450000E-005	
-9.63480000E-008	2.06250000E-005	2.50500000E-005	2.70850000E-005	2.87900000E-005	3.03900000E-005	
-7.32980000E-008	2.12900000E-005	2.57740000E-005	2.78450000E-005	2.95800000E-005	3.11990000E-005	
6.32970000E-008	2.20290000E-005	2.65950000E-005	2.86490000E-005	3.04390000E-005	3.20840000E-005	
1.24000000E-008	2.28250000E-005	2.74540000E-005	2.96150000E-005	3.13690000E-005	3.30390000E-005	
2.59000000E-008	2.37350000E-005	2.84590000E-005	3.05990000E-005	3.24640000E-005	3.41650000E-005	
3.62490000E-008	2.47400000E-005	2.95550000E-005	3.17450000E-005	3.36150000E-005	3.53490000E-005	
5.53480000E-008	2.58250000E-005	3.07210000E-005	3.29690000E-005	3.48890000E-005	3.66640000E-005	
4.83490000E-008	2.70800000E-005	3.20600000E-005	3.42840000E-005	3.62900000E-005	3.80800000E-005	
5.32980000E-008	2.83550000E-005	3.34290000E-005	3.57740000E-005	3.77450000E-005	3.95790000E-005	
6.02990000E-008	2.97650000E-005	3.49100000E-005	3.72290000E-005	3.93350000E-005	4.12300000E-005	
7.73980000E-008	3.12910000E-005	3.65250000E-005	3.89440000E-005	4.10250000E-005	4.29340000E-005	
7.78490000E-008	3.29690000E-005	3.82700000E-005	4.07190000E-005	4.29100000E-005	4.48900000E-005	
8.94470000E-008	3.47790000E-005	4.01900000E-005	4.26040000E-005	4.48750000E-005	4.68900000E-005	
