ATTRIBUTES:

Attribute #1:
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:MOSFET  12/04/2023  23:33:35
DATE:12/04/2023
TIME:23:33:35

CONDITIONS:

ID:	D	
UNIT:	SMU1	
MODE: SWEEP	
START:	0	
STOP:	5	
PNTS:	101	
STEP:	0.05

ID:	G	
UNIT:	SMU3	
MODE: STEP	
START:	0	
STOP:	0.7	
PNTS:	8	
STEP:	0.1

ID:	S	
UNIT:	SMU4	
START:	0	
STOP:	1	
PNTS:	1	
	STEP:	0

DATA:  MOSFET  12/04/2023  23:33:35

VD	ID	ID2	ID3	ID4	ID5	ID6	ID7	ID8	
0.00000000E+000	1.09550000E-007	1.26850000E-006	2.44900000E-006	3.04650000E-006	2.86800000E-006	4.06800000E-006	3.77050000E-006	4.77890000E-006	
5.00000000E-002	1.99450000E-004	3.81410000E-004	5.63200000E-004	7.15940000E-004	8.45700000E-004	9.56710000E-004	1.05750000E-003	1.14200000E-003	
1.00000000E-001	3.25900000E-004	6.59410000E-004	1.02720000E-003	1.34800000E-003	1.61600000E-003	1.84650000E-003	2.05100000E-003	2.22550000E-003	
1.50000000E-001	4.13060000E-004	8.53800000E-004	1.39650000E-003	1.89250000E-003	2.31460000E-003	2.67350000E-003	2.99250000E-003	3.26300000E-003	
2.00000000E-001	4.81750000E-004	9.88360000E-004	1.67150000E-003	2.34600000E-003	2.93050000E-003	3.42860000E-003	3.86950000E-003	4.24050000E-003	
2.50000000E-001	5.43210000E-004	1.09100000E-003	1.87200000E-003	2.70810000E-003	3.46100000E-003	4.10700000E-003	4.67750000E-003	5.15700000E-003	
3.00000000E-001	6.02360000E-004	1.17650000E-003	2.02200000E-003	2.98860000E-003	3.90740000E-003	4.71160000E-003	5.41810000E-003	6.01200000E-003	
3.50000000E-001	6.59940000E-004	1.25650000E-003	2.14150000E-003	3.20210000E-003	4.27150000E-003	5.23710000E-003	6.09020000E-003	6.80660000E-003	
4.00000000E-001	7.18650000E-004	1.33300000E-003	2.24600000E-003	3.36750000E-003	4.55760000E-003	5.68060000E-003	6.68360000E-003	7.52850000E-003	
4.50000000E-001	7.77750000E-004	1.40700000E-003	2.34150000E-003	3.50400000E-003	4.78150000E-003	6.04410000E-003	7.20170000E-003	8.18300000E-003	
5.00000000E-001	8.38820000E-004	1.48250000E-003	2.43350000E-003	3.62410000E-003	4.96010000E-003	6.33810000E-003	7.64610000E-003	8.76660000E-003	
5.50000000E-001	9.02210000E-004	1.55650000E-003	2.52310000E-003	3.73450000E-003	5.11100000E-003	6.57250000E-003	8.01610000E-003	9.27880000E-003	
6.00000000E-001	9.67920000E-004	1.63200000E-003	2.61200000E-003	3.84060000E-003	5.24590000E-003	6.76510000E-003	8.32030000E-003	9.72180000E-003	
6.50000000E-001	1.03500000E-003	1.70750000E-003	2.70000000E-003	3.94200000E-003	5.36890000E-003	6.92700000E-003	8.56590000E-003	1.00930000E-002	
7.00000000E-001	1.10550000E-003	1.78450000E-003	2.78560000E-003	4.04210000E-003	5.48360000E-003	7.07100000E-003	8.76950000E-003	1.04000000E-002	
7.50000000E-001	1.17550000E-003	1.86300000E-003	2.87200000E-003	4.13850000E-003	5.59620000E-003	7.20360000E-003	8.94260000E-003	1.06600000E-002	
8.00000000E-001	1.24950000E-003	1.94250000E-003	2.96100000E-003	4.23550000E-003	5.70560000E-003	7.33060000E-003	9.09660000E-003	1.08700000E-002	
8.50000000E-001	1.32450000E-003	2.02450000E-003	3.04810000E-003	4.33210000E-003	5.81190000E-003	7.45060000E-003	9.23870000E-003	1.10500000E-002	
9.00000000E-001	1.40150000E-003	2.10700000E-003	3.13810000E-003	4.42740000E-003	5.91750000E-003	7.56760000E-003	9.37410000E-003	1.12100000E-002	
9.50000000E-001	1.48300000E-003	2.19150000E-003	3.22700000E-003	4.52350000E-003	6.02010000E-003	7.68210000E-003	9.50100000E-003	1.13600000E-002	
1.00000000E+000	1.56400000E-003	2.27800000E-003	3.31810000E-003	4.61960000E-003	6.12450000E-003	7.79250000E-003	9.62500000E-003	1.15000000E-002	
1.05000000E+000	1.64900000E-003	2.36550000E-003	3.41000000E-003	4.71660000E-003	6.22650000E-003	7.90410000E-003	9.74510000E-003	1.16300000E-002	
1.10000000E+000	1.73500000E-003	2.45610000E-003	3.50200000E-003	4.81340000E-003	6.33050000E-003	8.01280000E-003	9.86150000E-003	1.17600000E-002	
1.15000000E+000	1.82100000E-003	2.54400000E-003	3.59550000E-003	4.90900000E-003	6.43010000E-003	8.11820000E-003	9.97590000E-003	1.18800000E-002	
1.20000000E+000	1.91300000E-003	2.63700000E-003	3.68910000E-003	5.00750000E-003	6.53100000E-003	8.22640000E-003	1.00880000E-002	1.20000000E-002	
1.25000000E+000	2.00310000E-003	2.73200000E-003	3.78450000E-003	5.10410000E-003	6.63350000E-003	8.33270000E-003	1.02010000E-002	1.21200000E-002	
1.30000000E+000	2.09800000E-003	2.82660000E-003	3.88300000E-003	5.20510000E-003	6.73700000E-003	8.43910000E-003	1.03140000E-002	1.22350000E-002	
