VD	ID	ID2	ID3	ID4	ID5	ID6	ID7	ID8
0.00E+00	-7.68E-07	-4.66E-07	-2.26E-07	-5.46E-08	6.87E-08	1.03E-07	1.57E-07	1.18E-06
5.00E-02	1.48E-05	4.58E-05	9.26E-05	1.45E-04	1.99E-04	2.52E-04	3.05E-04	3.56E-04
1.00E-01	2.34E-05	7.28E-05	1.59E-04	2.62E-04	3.69E-04	4.76E-04	5.80E-04	6.83E-04
1.50E-01	2.88E-05	8.71E-05	2.02E-04	3.52E-04	5.11E-04	6.72E-04	8.29E-04	9.84E-04
2.00E-01	3.26E-05	9.46E-05	2.26E-04	4.14E-04	6.23E-04	8.39E-04	1.05E-03	1.26E-03
2.50E-01	3.57E-05	9.93E-05	2.39E-04	4.54E-04	7.09E-04	9.77E-04	1.24E-03	1.50E-03
3.00E-01	3.82E-05	1.03E-04	2.46E-04	4.77E-04	7.70E-04	1.09E-03	1.40E-03	1.72E-03
3.50E-01	4.04E-05	1.06E-04	2.51E-04	4.90E-04	8.09E-04	1.17E-03	1.54E-03	1.91E-03
4.00E-01	4.24E-05	1.08E-04	2.54E-04	4.98E-04	8.33E-04	1.23E-03	1.65E-03	2.07E-03
4.50E-01	4.41E-05	1.11E-04	2.58E-04	5.04E-04	8.47E-04	1.27E-03	1.73E-03	2.20E-03
5.00E-01	4.57E-05	1.13E-04	2.61E-04	5.08E-04	8.56E-04	1.30E-03	1.80E-03	2.31E-03
5.50E-01	4.70E-05	1.14E-04	2.63E-04	5.12E-04	8.63E-04	1.32E-03	1.84E-03	2.40E-03
6.00E-01	4.83E-05	1.16E-04	2.66E-04	5.15E-04	8.68E-04	1.33E-03	1.87E-03	2.46E-03
6.50E-01	4.94E-05	1.17E-04	2.68E-04	5.18E-04	8.73E-04	1.34E-03	1.89E-03	2.51E-03
7.00E-01	5.06E-05	1.19E-04	2.69E-04	5.22E-04	8.78E-04	1.34E-03	1.90E-03	2.54E-03
7.50E-01	5.15E-05	1.20E-04	2.72E-04	5.24E-04	8.82E-04	1.35E-03	1.91E-03	2.56E-03
8.00E-01	5.25E-05	1.21E-04	2.73E-04	5.27E-04	8.86E-04	1.36E-03	1.92E-03	2.57E-03
8.50E-01	5.34E-05	1.23E-04	2.75E-04	5.29E-04	8.89E-04	1.36E-03	1.93E-03	2.59E-03
9.00E-01	5.40E-05	1.24E-04	2.76E-04	5.32E-04	8.93E-04	1.37E-03	1.93E-03	2.60E-03
9.50E-01	5.49E-05	1.25E-04	2.78E-04	5.34E-04	8.96E-04	1.37E-03	1.94E-03	2.61E-03
1.00E+00	5.55E-05	1.25E-04	2.79E-04	5.36E-04	8.99E-04	1.38E-03	1.95E-03	2.61E-03
1.05E+00	5.62E-05	1.26E-04	2.80E-04	5.38E-04	9.02E-04	1.38E-03	1.95E-03	2.62E-03
1.10E+00	5.69E-05	1.27E-04	2.82E-04	5.40E-04	9.04E-04	1.38E-03	1.96E-03	2.63E-03
1.15E+00	5.73E-05	1.28E-04	2.83E-04	5.41E-04	9.07E-04	1.39E-03	1.96E-03	2.64E-03
1.20E+00	5.79E-05	1.29E-04	2.84E-04	5.44E-04	9.10E-04	1.39E-03	1.97E-03	2.64E-03
1.25E+00	5.84E-05	1.29E-04	2.85E-04	5.45E-04	9.12E-04	1.39E-03	1.97E-03	2.65E-03
1.30E+00	5.89E-05	1.30E-04	2.86E-04	5.47E-04	9.15E-04	1.40E-03	1.98E-03	2.65E-03
1.35E+00	5.94E-05	1.31E-04	2.87E-04	5.48E-04	9.17E-04	1.40E-03	1.98E-03	2.66E-03
1.40E+00	5.96E-05	1.31E-04	2.88E-04	5.50E-04	9.19E-04	1.40E-03	1.98E-03	2.67E-03
1.45E+00	6.02E-05	1.32E-04	2.89E-04	5.51E-04	9.22E-04	1.41E-03	1.99E-03	2.67E-03
1.50E+00	6.05E-05	1.32E-04	2.90E-04	5.52E-04	9.23E-04	1.41E-03	1.99E-03	2.68E-03
1.55E+00	6.09E-05	1.33E-04	2.91E-04	5.54E-04	9.25E-04	1.41E-03	2.00E-03	2.68E-03
1.60E+00	6.13E-05	1.34E-04	2.92E-04	5.55E-04	9.27E-04	1.42E-03	2.00E-03	2.69E-03
1.65E+00	6.15E-05	1.34E-04	2.92E-04	5.56E-04	9.29E-04	1.42E-03	2.00E-03	2.69E-03
1.70E+00	6.19E-05	1.34E-04	2.93E-04	5.58E-04	9.31E-04	1.42E-03	2.01E-03	2.70E-03
1.75E+00	6.21E-05	1.35E-04	2.94E-04	5.58E-04	9.33E-04	1.42E-03	2.01E-03	2.70E-03
1.80E+00	6.24E-05	1.35E-04	2.94E-04	5.60E-04	9.35E-04	1.43E-03	2.01E-03	2.71E-03
1.85E+00	6.28E-05	1.36E-04	2.95E-04	5.61E-04	9.37E-04	1.43E-03	2.02E-03	2.71E-03
1.90E+00	6.29E-05	1.36E-04	2.96E-04	5.62E-04	9.38E-04	1.43E-03	2.02E-03	2.71E-03
1.95E+00	6.33E-05	1.37E-04	2.96E-04	5.63E-04	9.40E-04	1.43E-03	2.02E-03	2.72E-03
2.00E+00	6.35E-05	1.37E-04	2.97E-04	5.64E-04	9.41E-04	1.44E-03	2.03E-03	2.72E-03
2.05E+00	6.37E-05	1.37E-04	2.98E-04	5.65E-04	9.43E-04	1.44E-03	2.03E-03	2.73E-03
2.10E+00	6.40E-05	1.38E-04	2.99E-04	5.66E-04	9.45E-04	1.44E-03	2.03E-03	2.73E-03
2.15E+00	6.41E-05	1.38E-04	2.99E-04	5.67E-04	9.46E-04	1.44E-03	2.04E-03	2.73E-03
2.20E+00	6.44E-05	1.38E-04	3.00E-04	5.69E-04	9.48E-04	1.45E-03	2.04E-03	2.74E-03
2.25E+00	6.46E-05	1.39E-04	3.00E-04	5.69E-04	9.49E-04	1.45E-03	2.04E-03	2.74E-03
2.30E+00	6.48E-05	1.39E-04	3.01E-04	5.70E-04	9.51E-04	1.45E-03	2.05E-03	2.75E-03
2.35E+00	6.51E-05	1.39E-04	3.02E-04	5.71E-04	9.52E-04	1.45E-03	2.05E-03	2.75E-03
2.40E+00	6.51E-05	1.40E-04	3.02E-04	5.72E-04	9.54E-04	1.45E-03	2.05E-03	2.75E-03
2.45E+00	6.55E-05	1.40E-04	3.02E-04	5.73E-04	9.55E-04	1.46E-03	2.05E-03	2.76E-03
2.50E+00	6.56E-05	1.40E-04	3.03E-04	5.74E-04	9.57E-04	1.46E-03	2.06E-03	2.76E-03
2.55E+00	6.58E-05	1.40E-04	3.04E-04	5.75E-04	9.58E-04	1.46E-03	2.06E-03	2.76E-03
2.60E+00	6.60E-05	1.41E-04	3.04E-04	5.76E-04	9.59E-04	1.46E-03	2.06E-03	2.77E-03
2.65E+00	6.60E-05	1.41E-04	3.05E-04	5.77E-04	9.61E-04	1.46E-03	2.06E-03	2.77E-03
2.70E+00	6.64E-05	1.41E-04	3.05E-04	5.78E-04	9.62E-04	1.47E-03	2.07E-03	2.77E-03
