ATTRIBUTES:

Attribute #1:
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:MOSFET  12/05/2023  00:06:13
DATE:12/05/2023
TIME:00:06:13

CONDITIONS:

ID:	D	
UNIT:	SMU1	
MODE: STEP	
START:	0	
STOP:	5	
PNTS:	6	
STEP:	1

ID:	G	
UNIT:	SMU3	
MODE: SWEEP	
START:	-0.1	
STOP:	0.7	
PNTS:	81	
STEP:	0.01

ID:	S	
UNIT:	SMU4	
START:	0	
STOP:	1	
PNTS:	1	
	STEP:	0

DATA:  MOSFET  12/05/2023  00:06:13

ID	ID2	ID3	ID4	ID5	ID6	
-1.74590000E-007	1.81750000E-005	2.17590000E-005	2.32700000E-005	2.43640000E-005	2.55100000E-005	
-4.46090000E-007	1.83500000E-005	2.19700000E-005	2.34940000E-005	2.46340000E-005	2.57450000E-005	
-2.75500000E-007	1.85900000E-005	2.22650000E-005	2.37940000E-005	2.49400000E-005	2.60750000E-005	
-1.72240000E-007	1.88600000E-005	2.25700000E-005	2.41150000E-005	2.52590000E-005	2.64150000E-005	
-1.66900000E-007	1.91750000E-005	2.29100000E-005	2.44800000E-005	2.56300000E-005	2.67890000E-005	
-3.61440000E-007	1.94940000E-005	2.32790000E-005	2.48700000E-005	2.60500000E-005	2.72150000E-005	
-4.06590000E-007	1.98740000E-005	2.37200000E-005	2.53240000E-005	2.65400000E-005	2.77050000E-005	
-4.44100000E-007	2.03000000E-005	2.41900000E-005	2.58200000E-005	2.70550000E-005	2.82350000E-005	
-3.31990000E-007	2.07800000E-005	2.47440000E-005	2.63950000E-005	2.76500000E-005	2.88500000E-005	
-2.89040000E-007	2.13450000E-005	2.53650000E-005	2.70340000E-005	2.83150000E-005	2.95290000E-005	
-2.77300000E-007	2.19850000E-005	2.60650000E-005	2.77500000E-005	2.90650000E-005	3.03000000E-005	
-1.88750000E-007	2.26750000E-005	2.68300000E-005	2.85390000E-005	2.98750000E-005	3.11300000E-005	
-3.35600000E-007	2.34750000E-005	2.76850000E-005	2.94250000E-005	3.07950000E-005	3.20650000E-005	
-3.77940000E-007	2.43240000E-005	2.86200000E-005	3.03950000E-005	3.17950000E-005	3.30840000E-005	
-3.08400000E-007	2.53050000E-005	2.96900000E-005	3.14840000E-005	3.29200000E-005	3.42350000E-005	
-3.03390000E-007	2.63800000E-005	3.08340000E-005	3.26650000E-005	3.41350000E-005	3.54740000E-005	
-3.94490000E-007	2.75850000E-005	3.21340000E-005	3.39890000E-005	3.55090000E-005	3.68800000E-005	
-2.31450000E-007	2.88940000E-005	3.35240000E-005	3.54240000E-005	3.69790000E-005	3.83650000E-005	
-4.35890000E-007	3.03400000E-005	3.50640000E-005	3.69940000E-005	3.85940000E-005	4.00300000E-005	
-3.16100000E-007	3.19150000E-005	3.67200000E-005	3.86950000E-005	4.03240000E-005	4.17940000E-005	
-3.69750000E-007	3.35500000E-005	3.84450000E-005	4.04450000E-005	4.21290000E-005	4.36340000E-005	
-3.99040000E-007	3.53940000E-005	4.03900000E-005	4.24090000E-005	4.41740000E-005	4.57150000E-005	
-3.14540000E-007	3.73940000E-005	4.24740000E-005	4.45490000E-005	4.63500000E-005	4.79200000E-005	
-4.71540000E-007	3.95350000E-005	4.47000000E-005	4.68250000E-005	4.86890000E-005	5.03040000E-005	
-3.26050000E-007	4.18800000E-005	4.71450000E-005	4.93150000E-005	5.11950000E-005	5.28540000E-005	
-4.34840000E-007	4.43090000E-005	4.96640000E-005	5.19040000E-005	5.38490000E-005	5.55550000E-005	
-4.37340000E-007	4.69850000E-005	5.24590000E-005	5.47190000E-005	5.67640000E-005	5.84940000E-005	
-3.88390000E-007	4.97100000E-005	5.52740000E-005	5.75800000E-005	5.96590000E-005	6.14560000E-005	
-4.91650000E-007	5.27440000E-005	5.83940000E-005	6.07590000E-005	6.29240000E-005	6.47460000E-005	
-3.78950000E-007	5.59350000E-005	6.16500000E-005	6.59040000E-005	6.62840000E-005	6.81690000E-005	
-5.11240000E-007	5.92790000E-005	6.51480000E-005	6.75840000E-005	6.98980000E-005	7.18200000E-005	
-4.74600000E-007	6.28490000E-005	6.88250000E-005	7.13090000E-005	7.36680000E-005	7.56790000E-005	
-4.69690000E-007	6.66190000E-005	7.26690000E-005	7.52360000E-005	7.76420000E-005	7.96950000E-005	
-5.45900000E-007	7.04640000E-005	7.66030000E-005	7.92140000E-005	8.17250000E-005	8.38080000E-005	
-4.62550000E-007	7.46180000E-005	8.08980000E-005	8.35810000E-005	8.61030000E-005	8.82740000E-005	
-5.80180000E-007	7.89050000E-005	8.52600000E-005	8.80250000E-005	9.06850000E-005	9.28750000E-005	
-5.00350000E-007	8.35540000E-005	9.00250000E-005	9.28300000E-005	9.55280000E-005	9.77930000E-005	
-5.45140000E-007	8.82740000E-005	9.48610000E-005	9.77030000E-005	1.00480000E-004	1.02810000E-004	
